"자치구별(1)",자치구별(2),2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010
"자치구별(1)",자치구별(2),졸업자,졸업자,졸업자,진학자,진학자,진학자,진학자,진학률 (%),취업자,기타,졸업자,졸업자,졸업자,진학자,진학자,진학자,진학자,진학률 (%),취업자,기타,졸업자,졸업자,졸업자,진학자,진학자,진학자,진학자,진학률 (%),취업자,기타,졸업자,졸업자,졸업자,진학자,진학자,진학자,진학자,진학률 (%),취업자,기타,졸업자,졸업자,졸업자,진학자,진학자,진학자,진학자,진학률 (%),취업자,기타,졸업자,졸업자,졸업자,진학자,진학자,진학자,진학자,진학률 (%),취업자,기타,졸업자,졸업자,졸업자,진학자,진학자,진학자,진학자,진학률 (%),취업자,기타
"자치구별(1)",자치구별(2),소계,일반계고,전문계고,소계,대학교,전문대학,기타,소계,소계,소계,소계,일반계고,전문계고,소계,대학교,전문대학,기타,소계,소계,소계,소계,일반계고,전문계고,소계,대학교,전문대학,기타,소계,소계,소계,소계,일반계고,전문계고,소계,대학교,전문대학,기타,소계,소계,소계,소계,일반계고,전문계고,소계,대학교,전문대학,기타,소계,소계,소계,소계,일반계고,전문계고,소계,대학교,전문대학,기타,소계,소계,소계,소계,일반계고,전문계고,소계,대학교,전문대학,기타,소계,소계,소계
"합계",소계,124807,99537,25270,88624,63805,23989,830,71.01,13710,22473,118195,93992,24203,86457,59034,26434,989,73.15,10094,21644,115781,93516,22265,80296,53889,25285,1122,69.35,7811,27674,115831,93980,21851,78851,53299,24709,843,68.07,6336,30644,114214,92148,22066,80311,54844,25456,11,70.30,6311,27592,110929,90189,20740,72383,44223,27422,738,65.25,5397,33149,122253,101705,20548,76808,49396,26333,1079,62.83,5199,40246
"합계",종로구,6030,5080,950,4049,2742,1256,51,67.15,625,1356,5141,4178,963,3905,2604,1213,88,75.96,409,827,5132,4218,914,3687,2511,1120,56,71.84,259,1186,5105,4198,907,3684,2157,1486,41,72.16,224,1197,4920,4044,876,3533,2357,1176,-,71.80,347,1040,4670,3814,856,3011,1961,1022,28,64.48,236,1423,5030,4200,830,3017,1969,1003,45,59.98,197,1816
"합계",중구,4342,2564,1778,2733,1810,877,46,62.94,896,713,3972,2246,1726,2555,1440,1068,47,64.33,603,814,3974,2252,1722,2639,1334,1255,50,66.41,452,883,3837,2168,1669,2332,1215,1086,31,60.78,394,1111,3695,2050,1645,2493,1337,1156,-,67.50,462,740,3522,1919,1603,2236,1074,1129,33,63.49,480,806,3719,2110,1609,2313,1123,1149,41,62.19,399,1007
"합계",용산구,3700,2726,974,2711,1766,904,41,73.27,313,676,3308,2354,954,2427,1695,684,48,73.37,234,647,3275,2469,806,2376,1674,681,21,72.55,165,734,3257,2381,876,2399,1516,874,9,73.66,206,652,3225,2326,899,2315,1547,768,-,71.80,125,785,3046,2158,888,2011,1272,720,19,66.02,119,916,3251,2369,882,2213,1483,620,110,68.07,159,879
"합계",성동구,2025,897,1128,1266,716,542,8,62.52,571,188,1918,843,1075,1365,740,611,14,71.17,409,144,1919,895,1024,1147,446,694,7,59.77,263,509,2162,1197,965,1260,643,597,20,58.28,170,732,2177,1166,1011,1463,668,795,-,67.20,263,451,2084,1244,840,1382,585,792,5,66.31,125,577,2182,1286,896,1460,848,600,12,66.91,172,550
"합계",광진구,5055,5055,0,3858,3238,597,23,76.32,72,1125,4808,4808,0,3833,3022,765,46,79.72,66,909,4832,4832,-,3573,2840,675,58,73.94,69,1190,4516,4516,-,3478,2688,761,29,77.02,37,1001,4432,4432,-,3466,2788,678,-,78.20,111,855,4413,4413,-,2984,2020,956,8,67.62,42,1387,4682,4682,-,3089,2258,825,6,65.98,69,1524
"합계",동대문구,3867,2897,970,2445,1562,788,95,63.23,612,810,3841,2945,896,2673,1505,1149,19,69.59,385,783,3613,2776,837,2431,1311,1078,42,67.28,306,876,3362,2570,792,1955,1157,787,11,58.15,429,978,3369,2561,808,2123,1315,808,-,63.00,251,995,3341,2590,751,2232,1279,947,6,66.81,227,882,3512,2782,730,2248,1377,850,21,64.01,224,1040
"합계",중랑구,3831,3284,547,2405,1845,546,14,62.78,560,866,3468,2889,579,2755,1856,886,13,79.44,367,346,3519,3000,519,2265,1404,825,36,64.36,400,854,3755,3250,505,2461,1615,826,20,65.54,199,1095,3589,3134,455,2968,1942,1026,-,82.70,114,507,3410,2956,454,2395,1364,997,34,70.23,124,891,3961,3505,456,2763,1656,1089,18,69.76,68,1130
"합계",성북구,5469,4308,1161,3749,2547,1200,2,68.55,860,860,5109,3918,1191,3082,2151,896,35,60.32,793,1234,4713,3795,918,2916,2003,906,7,61.87,517,1280,4627,3781,846,2821,1889,916,16,60.97,388,1418,4598,3605,993,2940,1795,1135,10,63.90,365,1293,4449,3471,978,2748,1476,1247,25,61.77,314,1387,4909,3945,964,3135,1865,1264,6,63.86,165,1609
"합계",강북구,2486,2221,265,1851,1433,401,17,74.46,206,429,2152,1894,258,1665,1072,585,8,77.37,156,331,2110,1859,251,1511,1088,393,30,71.61,158,441,2046,1796,250,1185,824,326,35,57.92,125,736,2026,1782,244,1285,791,494,-,63.40,102,639,2043,1795,248,1326,692,634,-,64.90,73,644,2212,1956,256,1403,824,573,6,63.43,87,722
"합계",도봉구,2483,1720,763,1717,1256,461,0,69.15,404,362,2876,2148,728,2083,1397,673,13,72.43,322,471,3200,2466,734,2148,1401,732,15,67.13,193,859,3650,2939,711,2268,1598,645,25,62.14,209,1173,3520,2846,674,2449,1665,784,-,69.60,110,961,3649,3022,627,2398,1348,1030,20,65.72,192,1059,3998,3365,633,2267,1305,955,7,56.70,144,1587
"합계",노원구,10976,7540,3436,7870,5682,2136,52,71.70,1455,1651,10907,7608,3299,8015,5006,2904,105,73.48,1027,1865,10465,7358,3107,7397,4605,2703,89,70.68,1022,2046,10274,7163,3111,6707,4187,2450,70,65.28,648,2919,10526,7416,3110,7499,4869,2630,-,71.20,651,2376,10236,7362,2874,6642,3840,2733,69,64.89,601,2993,11197,8283,2914,6858,4131,2658,69,61.25,588,3751
"합계",은평구,5657,3986,1671,4055,2728,1274,53,71.68,813,789,5414,3780,1634,3675,2268,1348,59,67.88,606,1133,5308,3769,1539,3937,2433,1394,110,74.17,377,994,5404,3850,1554,3944,2554,1351,39,72.98,443,1017,5180,3595,1585,4012,2668,1344,-,77.50,448,720,5224,3698,1526,3800,2142,1566,92,72.74,399,1025,5427,4007,1420,3671,2108,1471,92,67.64,311,1445
"합계",서대문구,2355,2355,0,1875,1527,342,6,79.62,23,457,2551,2551,0,2060,1535,513,12,80.75,27,464,2559,2559,-,2029,1584,428,17,79.29,115,415,2605,2605,-,1937,1436,450,51,74.36,19,649,2539,2539,-,1537,1236,301,-,60.50,53,949,2504,2504,-,1585,1113,472,-,63.30,22,897,2631,2631,-,1794,1344,450,-,68.19,23,814
"합계",마포구,2477,1893,584,1781,1086,651,44,71.90,291,405,2252,1713,539,1683,1003,632,48,74.73,156,413,2309,1784,525,1601,948,608,45,69.34,180,528,2281,1760,521,1760,1093,650,17,77.16,55,466,2270,1750,520,1688,1056,632,-,74.40,175,407,2204,1683,521,1450,741,683,26,65.79,113,641,2780,2227,553,1730,1069,593,68,62.23,130,920
"합계",양천구,6155,5666,489,4736,3521,1132,83,76.95,428,991,6142,5625,517,4851,3682,1109,60,78.98,386,905,5893,5414,479,4526,3065,1389,72,76.80,337,1030,5884,5405,479,4429,3289,1101,39,75.27,169,1286,5798,5300,498,4096,3011,1085,-,70.60,157,1545,5767,5337,430,3691,2522,1149,20,64.00,176,1900,6440,6015,425,3729,2711,965,53,57.90,163,2548
"합계",강서구,9236,6659,2577,6492,4361,2071,60,70.29,1416,1328,8034,5664,2370,5766,3660,2016,90,71.77,852,1416,7895,5741,2154,5428,3538,1815,75,68.75,661,1806,7920,6004,1916,5680,3842,1735,103,71.72,475,1765,8114,5926,2188,5797,3698,2099,-,71.40,397,1920,7793,5784,2009,5423,3260,2096,67,69.59,391,1979,8795,6829,1966,5717,3488,2053,176,65.00,323,2755
"합계",구로구,3647,2358,1289,2264,1225,984,55,62.08,559,824,3718,2477,1241,2790,1433,1327,30,75.04,376,552,3626,2513,1113,2442,1439,948,55,67.35,251,933,3757,2545,1212,2556,1157,1394,5,68.03,225,976,3695,2508,1187,2746,1378,1368,-,74.30,294,655,3550,2404,1146,2472,1072,1372,28,69.63,256,822,4077,2910,1167,2831,1287,1464,80,69.44,266,980
"합계",금천구,2963,2329,634,2159,1483,660,16,72.87,211,593,2559,2063,496,2006,1382,605,19,78.39,121,432,2619,2247,372,1814,1310,496,8,69.26,107,698,2570,2214,356,1877,1252,606,19,73.04,80,613,2490,2145,345,1889,1403,486,-,75.90,88,513,2411,2049,362,1691,962,728,1,70.14,121,599,2674,2323,351,1839,1072,757,10,68.77,140,695
"합계",영등포구,3610,3313,297,2648,1699,918,31,73.35,201,761,3308,3040,268,2404,1629,730,45,72.67,48,856,3313,3044,269,2455,1602,824,29,74.10,40,818,3238,2950,288,2179,1322,835,22,67.29,63,996,3479,3201,278,2305,1394,911,-,66.30,100,1074,3297,3047,250,2142,1224,918,-,64.97,85,1070,3867,3611,256,2455,1487,933,35,63.49,152,1260
"합계",동작구,3363,2734,629,2227,1533,687,7,66.22,365,771,3194,2569,625,2260,1561,680,19,70.76,343,591,3004,2472,532,1990,1293,647,50,66.25,121,893,3001,2476,525,2090,1292,723,75,69.64,224,687,3036,2494,542,2157,1521,636,-,71.00,255,624,2886,2387,499,1911,1137,731,43,66.22,115,860,3209,2664,545,2141,1284,801,56,66.72,155,913
"합계",관악구,5589,4177,1412,3727,2334,1372,21,66.68,944,918,5127,3754,1373,3382,2190,1166,26,65.96,693,1052,5115,3859,1256,3201,1927,1263,11,62.58,649,1265,5091,3822,1269,3081,1837,1191,53,60.52,564,1446,4888,3853,1035,3420,2397,1022,1,70.00,377,1091,4651,3697,954,3054,1730,1281,43,65.66,315,1282,5149,4185,964,3360,2025,1258,77,65.26,356,1433
"합계",서초구,5258,5001,257,4225,3548,670,7,80.35,96,937,5290,5048,242,4264,3439,768,57,80.60,90,936,5132,4897,235,4072,3504,552,16,79.35,33,1027,5210,4994,216,3285,2808,476,1,63.05,81,1844,4841,4635,206,3374,2818,556,-,69.70,79,1388,4604,4395,209,2604,2012,566,26,56.56,96,1904,5032,4858,174,2813,2298,508,7,55.90,125,2094
"합계",강남구,9879,8820,1059,7232,6126,1101,5,73.21,314,2333,9275,8217,1058,7283,5789,1443,51,78.52,376,1616,9011,8062,949,6384,5073,1196,115,70.85,300,2327,9005,8007,998,6289,5232,987,70,69.84,205,2511,8574,7622,952,6041,5116,925,-,70.50,117,2416,8320,7421,899,4981,4116,850,15,59.87,128,3211,9118,8211,907,5175,4248,885,42,56.76,113,3830
"합계",송파구,8147,6765,1382,6015,4564,1411,40,73.83,827,1305,8010,6801,1209,5223,3816,1377,30,65.21,740,2047,7651,6493,1158,4863,3146,1639,78,63.56,413,2375,7625,6573,1052,5125,3684,1419,22,67.21,343,2157,7511,6424,1087,4714,3281,1433,-,62.80,428,2369,7302,6344,958,4578,2994,1468,116,62.70,395,2329,8318,7513,805,4961,3638,1306,17,59.64,455,2902
"합계",강동구,6207,5189,1018,4534,3473,1008,53,73.05,648,1025,5821,4859,962,4452,3159,1286,7,76.48,509,860,5594,4742,852,3464,2410,1024,30,61.92,423,1707,5649,4816,833,4069,3012,1037,20,72.03,361,1219,5722,4794,928,4001,2793,1208,-,69.90,442,1279,5553,4695,858,3636,2287,1335,14,65.48,252,1665,6083,5238,845,3826,2498,1303,25,62.90,215,2042
